IV68,PN68,ER33401,ER33402,ER33403,CHRACE,BIOPR97,BIOGPR97,PCRAW97,WICpreg,FDSTMPpreg,AFDCpreg,Q1A21B,Q1A21C,Q1A21F,Q1A21G,Q1A21M,Q1A21Q,Q1A27,Q1A28,WIC97,Q1D4A,Q1D4B,Q1D4C,Q1D4D,Q1D4E,Q1G4,Q1G6,Q1G7,Q1G10,Q1G33A,Q1H12F,Q1H12H,Q1K5B,Q1K10A,HOME97,Q2A2,AGE97,Q3A3,LWRAW97,LW_SS97,PC_SS97,CALRAW97,CAL_SS97,APRAW97,AP_SS97,ER33601,ER33602,ER33603,Q24B2,LWRAW02,LWSS02,PCRAW02,PCSS02,APRAW02,APSS02,AGE02,CHID,read97,read02,mathraw97,math97,math02,readss97,bthord,bthwht,PCID,PCGID_97,PCGPN_97,OCGID_97,OCGPN_97,PCGID_02,PCGPN_02,OCGID_02,OCGPN_02,PCBTHORD,PCBTHWHT,state,ER10008,pcage,pcgender,childnum,homeval,ER11049,AFDC97HD,ER11273,AFDC97WF,ER11600,inherit97,ER11743,Parentspoor,faminc97,hdeduc97,wfeduc97,ER18386,AFDC02HD,ER18698,AFDC02WF,ER19047,INHERIT02,FAMINC02,hdeduc02,wfeduc02,nfa01,nw01,inc97,inc02,inherit,loginc97,loginc02,loginherit97,cloth
4,5,3853,2,20,1,1,2,,0,5,0,5,5,5,5,5,5,1,12,0,0,0,0,0,0,0,5,1,1,2,5,5,0,0,19.2,,,,,,,,,,,6872,2,20,9,46,92,31,105,44,106,15,4187,,77,,,44,,2,1,4005,4,5,4,186,4,5,4,186,5,995,47,3,53,1,1,128900,5,0,0,,0,0,2,0,101186.74,14,10,5,0,0,,0,0,60802,14,10,268682,334709,101186.7446,60802.43902,1,11.52472305,11.01538518,0,1
4,7,5491,1,10,1,2,2,,0,5,0,5,5,5,5,5,5,1,12,0,0,0,0,0,0,3,5,5,1,2,5,5,0,0,21.9,,,,,,,,,,,7091,1,10,,,,,,,,,4038,,,,,,,1,0,4007,4,7,,,,,,,7,995,47,2,37,2,1,0,5,0,0,,0,0,0,0,32846.04,12,0,5,0,0,,0,0,58103,12,0,24379,41648,32846.04112,58102.89431,1,10.3995865,10.96997076,0,1
4,31,4246,1,10,1,2,2,,1,1,1,5,5,5,5,5,5,1,12,0,1,1,1,5,5,0,0,0,0,1,0,0,0,0,15.1,3,4,99,4,81,,,,8,85,285,2,20,4,28,72,17,84,24,70,11,4041,,45,8,8,24,81,2,1,4031,4,31,,,4,31,,,1,995,47,3,23,2,2,0,1,1,142,,0,0,0,0,8419.99,12,0,5,0,0,0,0,0,39448,11,12,11682,11682,8419.992523,39448.45529,1,9.038364219,10.58275017,0,1
4,42,4246,3,30,1,2,2,,0,1,1,1,5,5,5,5,5,1,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9,3,,,,,,,,,,285,4,30,1,25,103,15,115,24,100,7,4042,,40,,,24,,3,0,4031,4,31,,,4,31,,,1,995,47,3,23,2,2,0,1,1,142,,0,0,0,0,8419.99,12,0,5,0,0,0,0,0,39448,11,12,11682,11682,8419.992523,39448.45529,1,9.038364219,10.58275017,0,1
4,36,5490,2,20,1,1,2,,0,5,0,5,5,5,5,5,5,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7,,,,,,,,,,,7308,2,20,,,,,,,,,4043,,,,,,,1,0,4036,4,36,4,190,,,,,2,995,47,3,22,1,1,50439,5,0,0,,0,0,5,3,11208.72,12,12,5,0,0,0,0,0,48058,12,12,108692,175371,11208.72274,48057.95529,1,9.32444757,10.78016296,0,1
4,173,3854,2,20,1,4,1,14,,0,,5,5,5,1,5,5,1,12,0,0,0,0,0,0,11,5,1,1,2,5,5,0,0,24,1,6,1,27,112,112,8,107,24,111,96,2,20,7,41,90,26,99,34,92,13,4039,41,67,32,24,34,112,1,0,4173,4,173,4,3,4,173,4,3,99,999,47,4,45,1,1,6725,5,0,0,0,0,0,2,0,59792.93,9,10,5,0,0,0,0,0,53155,9,10,23414,114837,59792.93146,53155.12195,1,10.99864273,10.88096975,0,1
4,179,4773,1,10,1,2,2,,0,5,0,1,5,5,5,5,5,1,12,0,0,0,0,0,0,0,5,1,1,1,5,5,0,0,16.1,,,,,,,,,,,5964,2,20,,,,,,,,,4037,,,,,,,2,0,4179,4,179,,,,,,,99,999,47,3,30,2,2,5604,5,0,0,,0,0,0,0,5828.31,9,0,5,0,0,,0,10158,35270,11,9,28443,150340,5828.311651,35269.5935,1,8.670482641,10.4707765,0,1
4,180,4773,2,30,1,2,2,25,0,5,0,5,5,5,5,5,5,1,12,0,0,0,0,0,0,0,5,1,1,1,5,5,0,0,19.1,,12,8,43,93,93,23,84,35,94,5964,3,30,,,,,,,,,4180,68,,58,35,,93,1,1,4179,4,179,,,,,,,99,999,47,3,30,2,2,5604,5,0,0,,0,0,0,0,5828.31,9,0,5,0,0,,0,10158,35270,11,9,28443,150340,5828.311651,35269.5935,1,8.670482641,10.4707765,0,1
5,170,368,2,20,1,1,2,33,1,5,0,5,5,1,5,5,5,1,12,0,0,0,0,0,0,1,5,1,1,1,5,5,0,0,21,3,12,7,48,109,122,34,116,41,114,1448,2,20,13,53,105,35,109,42,94,19,5032,81,88,75,41,42,115.5,2,1,5170,5,170,5,3,5,170,5,3,99,999,47,4,34,1,2,79582,5,0,0,0,0,0,7,0,89109.35,12,12,5,0,0,0,0,0,82741,12,12,105644,156435,89109.34579,82741.46342,1,11.3976195,11.32347613,0,1
5,172,3633,2,20,1,1,2,,0,5,0,5,5,5,5,5,5,1,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,,,,,,,,,,279,2,22,,,,,,,,,5033,,,,,,,3,0,5172,5,172,5,5,,,,,99,999,47,5,30,1,3,94153,5,0,0,0,0,0,4,0,52090.33,10,12,1,0,0,0,0,0,40640,12,12,23250,23250,52090.33082,40640.47561,1,10.86073462,10.61251979,0,1
6,172,6048,2,20,1,1,2,33,0,5,0,5,5,5,5,5,5,1,12,0,0,0,0,0,0,0,5,1,1,1,5,5,0,0,23.1,,13,8,46,143,,28,,42,,6438,2,20,,,,,,,,,6034,79,,70,42,,143,3,1,6172,6,172,6,6,,,,,99,999,31,5,42,1,3,106483,5,0,0,0,0,0,6,0,115001.5,17,16,5,0,0,0,0,0,175512,17,16,642500,794872,115001.4953,175512.1951,1,11.65270041,12.07546381,0,1
7,30,1114,2,30,1,2,1,5,1,1,1,5,5,5,5,5,5,1,12,0,0,0,0,0,0,33,5,5,1,2,5,5,3,0,13.5,1,6,0,11,74,93,0,61,11,63,3325,2,20,,,,,,,,,7041,16,,11,11,,83.5,1,1,7030,7,30,7,4,,,,,1,995,39,6,41,2,4,0,1,0,0,,0,0,0,0,24634.53,9,0,5,0,0,,0,0,19133,11,11,5079,5079,24634.53084,19132.9187,1,10.11190443,9.859165623,0,1
7,44,1114,6,60,1,2,1,,1,1,0,5,5,5,5,5,5,1,12,0,1,1,1,1,5,21,1,1,0,2,0,0,3,0,16,1,4,99,2,79,,,,6,88,3325,5,30,,,,,,,,,7044,,,6,6,,79,3,1,7030,7,30,7,4,,,,,1,995,39,6,41,2,4,0,1,0,0,,0,0,0,0,24634.53,9,0,5,0,0,,0,0,19133,11,11,5079,5079,24634.53084,19132.9187,1,10.11190443,9.859165623,0,1
7,34,5107,1,10,1,2,2,,1,1,0,5,5,5,5,5,5,1,12,0,1,1,1,1,5,0,0,0,0,2,0,0,3,0,17.7,,3,99,,,,,,6,95,3075,1,10,,,,,,,,,7046,,,6,6,,,1,0,7034,7,34,,,,,,,3,995,39,5,22,2,3,0,1,0,0,,0,0,0,3,15692.21,11,0,5,0,0,,0,0,3761,11,0,0,0,15692.21184,3760.97561,1,9.660919807,8.232433673,0,1
7,47,5107,4,30,1,2,2,,1,1,0,5,5,5,5,5,5,1,12,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14.4,,,,,,,,,,,3075,3,30,,,,,,,,,7047,,,,,,,2,0,7034,7,34,,,,,,,3,995,39,5,22,2,3,0,1,0,0,,0,0,0,3,15692.21,11,0,5,0,0,,0,0,3761,11,0,0,0,15692.21184,3760.97561,1,9.660919807,8.232433673,0,1
7,171,1111,2,20,1,1,2,15,1,1,1,5,5,1,5,5,1,1,12,0,0,0,0,0,0,9,5,1,1,2,0,0,0,0,18.6,2,9,3,26,78,88,11,77,29,98,2945,1,10,9,33,67,19,76,31,79,15,7039,41,52,40,29,31,83,3,0,7171,7,171,7,5,7,171,,,99,999,39,7,39,1,5,0,1,0,0,1,470,0,2,0,12777.94,10,11,1,0,0,,0,0,17483,11,0,3758,49470,12777.94393,17483.31301,1,9.455475833,9.769002163,0,1
7,40,1111,6,30,1,1,2,14,1,1,1,5,5,5,5,5,1,1,12,0,0,0,0,0,0,9,5,1,1,2,0,0,0,0,16.6,2,7,2,24,90,97,7,88,26,106,2945,4,30,8,40,85,24,91,34,89,14,7040,38,64,33,26,34,93.5,4,0,7171,7,171,7,5,7,171,,,99,999,39,7,39,1,5,0,1,0,0,1,470,0,2,0,12777.94,10,11,1,0,0,,0,0,17483,11,0,3758,49470,12777.94393,17483.31301,1,9.455475833,9.769002163,0,1
7,175,1910,4,37,1,1,1,,1,1,1,5,5,5,5,5,5,1,0,0,1,1,1,1,5,2,1,1,0,1,0,0,3,1,16,1,4,99,4,88,,,,11,103,6030,2,20,3,28,78,25,112,25,79,10,7045,,53,11,11,25,88,1,1,7175,7,175,7,31,7,175,7,31,99,999,39,5,42,1,1,0,5,0,0,0,0,0,6,0,65234.77,12,12,5,0,0,,0,0,64885,11,12,44188,44188,65234.76636,64885.18699,1,11.08574783,11.08037463,0,1
10,6,1336,2,20,2,1,2,17,1,5,0,5,5,5,5,5,5,1,12,0,0,0,0,0,0,4,5,1,1,1,5,5,0,0,25.4,,6,1,37,140,127,12,132,27,131,257,1,10,7,50,115,25,97,45,126,13,10034,54,75,39,27,45,133.5,2,0,10006,10,6,10,176,10,6,,,1,998,37,5,35,1,3,0,5,0,0,0,0,0,6,0,20937.89,15,14,5,0,0,,0,0,16999,14,0,813,813,20937.89408,16998.56504,1,9.94931591,9.74088421,0,1
10,35,1336,5,30,2,1,2,,1,5,0,5,5,5,5,5,5,1,12,0,1,1,1,1,5,1,1,1,0,1,0,0,0,0,20.7,,4,99,4,84,,,,7,85,257,4,30,4,37,91,17,70,26,81,11,10035,,54,7,7,26,84,3,0,10006,10,6,10,176,10,6,,,1,998,37,5,35,1,3,0,5,0,0,0,0,0,6,0,20937.89,15,14,5,0,0,,0,0,16999,14,0,813,813,20937.89408,16998.56504,1,9.94931591,9.74088421,0,1
10,177,6041,1,10,2,2,0,13,1,5,1,5,5,5,5,5,5,1,6,0,0,0,0,0,0,0,5,1,1,1,5,5,0,0,20.4,3,7,2,23,95,101,6,91,22,97,5332,1,10,,,,,,,,,10033,36,,28,22,,98,1,0,10177,10,177,,,10,177,,,99,999,37,2,33,2,1,0,5,0,0,,0,0,0,0,29142.68,12,0,5,0,0,,0,0,36526,12,0,8634,8634,29142.67913,36526.38618,1,10.27995902,10.50579019,0,1
14,3,681,2,20,1,1,2,,0,5,0,5,5,5,5,5,5,1,12,0,1,1,1,1,5,1,5,5,0,1,0,0,0,0,21.7,,4,99,13,113,,,,19,127,190,2,20,6,44,108,30,122,34,103,10,14032,,74,19,19,34,113,1,0,14003,14,3,14,173,14,3,14,173,2,995,6,4,35,1,2,91912,5,0,0,0,0,0,6,0,63105.11,17,14,5,0,0,0,0,0,76264,17,14,128500,235160,63105.10903,76264.22764,1,11.05255701,11.24195927,0,1
14,33,681,4,30,1,1,2,,0,5,0,5,5,5,5,5,5,1,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,,,,,,,,,,,190,4,30,3,33,105,21,120,31,120,8,14033,,54,,,31,,2,0,14003,14,3,14,173,14,3,14,173,2,995,6,4,35,1,2,91912,5,0,0,0,0,0,6,0,63105.11,17,14,5,0,0,0,0,0,76264,17,14,128500,235160,63105.10903,76264.22764,1,11.05255701,11.24195927,0,1
14,172,1179,2,20,1,1,2,27,0,5,0,5,5,5,5,5,5,1,12,0,0,0,0,0,0,1,5,1,1,1,5,5,0,0,20.6,2,11,6,43,99,103,23,93,32,93,260,2,20,12,50,96,32,101,39,91,17,14030,70,82,55,32,39,101,1,0,14172,14,172,14,4,14,172,14,4,99,999,6,4,33,1,2,106483,5,0,0,,0,0,5,0,67252.34,12,12,5,0,0,,0,0,64772,12,12,12190,28951,67252.33645,64772.35772,1,11.11620704,11.07863421,0,1
14,31,1179,4,30,1,1,2,22,0,5,0,5,5,5,5,5,5,1,12,0,0,0,0,0,0,2,5,1,1,1,5,5,0,0,20.7,2,8,3,36,98,108,22,129,31,110,260,4,30,9,48,96,29,99,40,97,15,14031,58,77,53,31,40,103,2,0,14172,14,172,14,4,14,172,14,4,99,999,6,4,33,1,2,106483,5,0,0,,0,0,5,0,67252.34,12,12,5,0,0,,0,0,64772,12,12,12190,28951,67252.33645,64772.35772,1,11.11620704,11.07863421,0,1
